0,almonds,3,150,g
1,apples,1,1000,g
2,avocados,0,1,St
3,banana,1,1,St
4,beef,0,200,g
5,bell peppers,1,1,St
6,berries,1,100,g
7,bread,1,200,g
8,broccolli,0,300,g
9,brown mushrooms,0,200,g
10,carrots,1,1000,g
11,cauliflower,1,400,g
12,chicken,0,250,g
13,chili,1,1,St
14,coconut oil,2,0.34,l
15,cooked beetroot,2,200,g
16,cooked quinoa,3,600,g
17,cottage cheese,1,200,g
18,cucumbers,2,1,St
19,eggplants,1,1,St
20,eggs,2,10,St
21,fat-free yogurt,1,0.3,l
22,fresh fish,0,250,g
23,garlic,2,300,g
24,ginger ,1,1,St
25,honey,3,0.2,l
26,lemon,1,1,St
27,lime,1,1,St
28,low-fat coconut milk,3,0.1,l
29,low-fat feta cheese ,1,150,g
30,low-fat mozzarella,0,150,g
31,milk,3,1,l
32,noodles,3,500,g
33,oats,3,500,g
34,onions,2,300,g
35,Parmesan,1,200,g
36,parsley,1,1,bunch
37,peas,1,200,g
38,pomegranates,2,1,St
39,potatoes,2,1000,g
40,quinoa,3,600,g
41,red onion,2,300,g
42,red radishes,2,300,g
43,salad leaves,1,250,g
44,sardines in oil,3,75,g
45,shrimp,0,100,g
46,smoked salmon,0,100,g
47,smoked tofu,1,180,g
48,spinach,1,250,g
49,spring onions,1,3,St
50,sunflower seeds,3,100,g
51,tomato,2,200,g
52,trout,0,250,g
53,turkey,0,250,g
54,water-packed tuna,3,75,g
55,white beans,2,100,g
56,yogurt,1,0.2,l
57,zucchini,1,1,St
